Rank,Title,Interventions,URL
1560,Containment Impact on Primary Care & Adverse Events Unrelated to COVID-19 in Older Patients and/or With Chronic Diseases,Other: Cohort,https://ClinicalTrials.gov/show/NCT04907994
1561,A Clinical Trial of Immunobridging and Lot-to-lot Consistency of COVID-19 Vaccine (Ad5-nCoV) in Different Age Groups.,Biological: Recombinant Novel Coronavirus Vaccine (Adenovirus Type 5 Vector) 0.5ml|Biological: Recombinant Novel Coronavirus Vaccine (Adenovirus Type 5 Vector) 0.3ml,https://ClinicalTrials.gov/show/NCT04916886
1562,RescuE pLAsma eXchange in Severe COVID-19,Other: Therapeutic plasma exchange,https://ClinicalTrials.gov/show/NCT04685655
1563,WORLD HEART FEDERATION (WHF) COVID-19 and Cardiovascular Disease Survey,,https://ClinicalTrials.gov/show/NCT04475471
1564,Asunercept in Patients With Severe COVID-19,Biological: Asunercept,https://ClinicalTrials.gov/show/NCT04535674
1565,Cardiac Arrhythmias In Patients With Coronavirus Disease (COVID-19),,https://ClinicalTrials.gov/show/NCT04358029
1566,Concordance Between Buccal Cavity Swab and Nasopharyngeal Swab for SARS-CoV-2 (COVID-19) Detection by RT-PCR and ELISA,"Diagnostic Test: Test At Home's Proprietary ""Lollipop"" Buccal Cavity Swab",https://ClinicalTrials.gov/show/NCT04732637
1567,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Drug: Remdesivir|Drug: Standard of Care,https://ClinicalTrials.gov/show/NCT04292730
1568,Awake Pronation for Covid-19 Treatment,Procedure: Prone Position (PP),https://ClinicalTrials.gov/show/NCT04667286
1569,Estetrol (E4) for the Treatment of Patients With Confirmed SARS-COV-2 Infection,Drug: Estetrol monohydrate 15 mg|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04801836
1570,Observational Study of Follow-up of Hospitalized Patients Diagnosed With COVID-19 to Evaluate the Effectiveness of the Drug Treatment Used to Treat This Disease. COVID-19 Registry,Drug: Patients with the treatment agains COVID19,https://ClinicalTrials.gov/show/NCT04347278
1571,"Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Efficacy of Remdesivir (GS-5734™) in Participants From Birth to < 18 Years of Age With Coronavirus Disease 2019 (COVID-19)",Drug: Remdesivir,https://ClinicalTrials.gov/show/NCT04431453
1572,COVID-19 and HIV Patients,Other: Seroprevalence of SARS-CoV-2 infection in patients with HIV infection,https://ClinicalTrials.gov/show/NCT04523012
1573,COVID-19: Povidone-Iodine Intranasal Prophylaxis in Front-line Healthcare Personnel and Inpatients,Drug: Povidone-Iodine Nasal Spray and Gargle,https://ClinicalTrials.gov/show/NCT04364802
1574,Study of seroPREvalence Vis-à-vis SARS-CoV2 and Correlation With Clinical Forms of COVID-19 in Patients Followed in Pneumology in the Cluster Area of the Grand-Est Region (Strasbourg University Hospital),,https://ClinicalTrials.gov/show/NCT04528901
1575,Safety and Efficacy Trial of Zavegepant* Intranasal for Hospitalized Patients With COVID-19 Requiring Supplemental Oxygen,Drug: Zavegepant (BHV-3500)|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04346615
1576,"COST (COvid STudio) ACTION: Study for the Evaluation of Specific Antibodies Anti Covid-19 Linked to Covid-19 Infection, Symptoms and Genetic Expression of ACE2 Polymorphisms in Patients (COST ACTION)",Other: BioMedomics COVID-19 IgM-IgG Rapid Test,https://ClinicalTrials.gov/show/NCT04367402
1577,Phase II Clinical Trial of CinnaGen COVID-19 Vaccine (SpikoGen),Biological: SARS-CoV-2 recombinant spike protein + Advax-SM adjuvant|Biological: Saline placebo,https://ClinicalTrials.gov/show/NCT04944368
1578,Enhanced Triage for COVID-19,,https://ClinicalTrials.gov/show/NCT04750369
1579,"A Trial of Aclaris Therapeutics, Inc. (ATI)-450 in Patients With Moderate-severe Novel Coronavirus Disease 2019 (COVID-19)",Drug: ATI-450|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04481685
1580,"Evaluation of Covid 19 Knowledge Anxiety and Expectation Levels of Turkish Physicians, Survey Study",Behavioral: turkish physicians,https://ClinicalTrials.gov/show/NCT04327531
1581,COVID-19 Survivorship Registry,Other: Questionnaires,https://ClinicalTrials.gov/show/NCT04527315
1582,Covid-19 Associated Coagulopathy,Drug: Intermediate dose thromboprophylaxis|Drug: Standard of Care thromboprophylaxis,https://ClinicalTrials.gov/show/NCT04360824
1583,A Placebo Controlled Trial of Bempegaldesleukin (BEMPEG; NKTR-214) With Standard of Care in Patients With Mild COVID-19,Drug: Bempegaldesleukin|Drug: Standard of Care|Other: Placebo,https://ClinicalTrials.gov/show/NCT04646044
1584,Study of Hemostasis in Case of Severe COVID-19,Other: Extra blood sample,https://ClinicalTrials.gov/show/NCT04359992
1585,Discovery Stage (Proof-of-concept) COVID-19 Antigen Presentation Therapeutic Biologics (COVID-19--AP),Biological: COVID-19 Therapeutic Biologics - Spike-GM-CSF Protein Lactated Ringer's Injection,https://ClinicalTrials.gov/show/NCT03348670
1586,Can RIC Prevent Deterioration to Critical Care in Covid19,Procedure: Cuff application with inflation|Other: Sham inflation,https://ClinicalTrials.gov/show/NCT04699227
1587,Host Response Mediators in Coronavirus (COVID-19) Infection,Other: ARBs and/or ACE inhibitors|Other: Usual Care,https://ClinicalTrials.gov/show/NCT04510623
1588,Standard or Convalescent Plasma in Patients With Recent Onset of COVID-19 Respiratory Failure,Drug: Standard Therapy Protocol (STP)|Other: STP + Standard Plasma (SP)|Other: STP + COVID-19 Convalescent Plasma (CP),https://ClinicalTrials.gov/show/NCT04428021
1589,Implementation of a Respiratory Physiotherapy Program in Post COVID-19 Patients Through Tele-assistance,Other: Chest physiotherapy post-covid19,https://ClinicalTrials.gov/show/NCT04678700
1590,Adoptive SARS-CoV-2 Specific T Cell Transfer in Patients at Risk for Severe COVID-19,"Drug: IMP 1,000 plus SoC|Drug: IMP 5,000 plus SoC|Drug: IMP RP2D plus SoC|Drug: SoC",https://ClinicalTrials.gov/show/NCT04762186
1591,Efficacy and Safety Study of Nitazoxanide (NTX) in the Treatment of Patients With SARS-CoV-2 Virus Infection (COVID-19),Drug: Nitazoxanide|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04463264
1592,Clinical Study for Efficacy of Anti-Corona VS2 Immunoglobulins Prepared From COVID19 Convalescent Plasma Prepared by VIPS Mini-Pool IVIG Medical Devices in Prevention of SARS-CoV-2 Infection in High Risk Groups as Well as Treatment of Early Cases of COVID19 Patients,Other: hyper immunoglobulins containing anti-Corona VS2 immunoglobulin,https://ClinicalTrials.gov/show/NCT04383548
1593,Favipiravir vs Hydroxychloroquine vs Control in COVID -19,Drug: Hydroxychloroquine|Drug: Favipiravir|Other: Routine care for COVID-19 patients,https://ClinicalTrials.gov/show/NCT04387760
1594,COVID-19 - Quality of Life After Infection,"Other: SF12, EQ-5D-5L and work status standardized quantitative assessments",https://ClinicalTrials.gov/show/NCT04377464
1595,COVID-19 Nasal Swab Trial,Device: CanSwab,https://ClinicalTrials.gov/show/NCT04649424
1596,The Effect of the Severity of COVID-19 Disease on the Incidence of Acute Renal Failure in ICU,Other: BRESCİA-COVİD Respiratory Severity Scale,https://ClinicalTrials.gov/show/NCT04799600
1597,The COVID-19 PUI Reality Check (CPRC) Study,Diagnostic Test: SARS-CoV-2 antibody testing,https://ClinicalTrials.gov/show/NCT04474288
1598,Tigerase® Efficacy and Safety as Part of Complex Therapy in Patients With COVID-19,Biological: Tigerase® and best available care|Other: Best available care,https://ClinicalTrials.gov/show/NCT04459325
1599,COVID-19 Antibodies Among Healthcare Workers,"Diagnostic Test: COVID-19 IgG/IgM Rapid Test Cassette test (Healgen Scientific, Houston, Texas, USA)",https://ClinicalTrials.gov/show/NCT04425889
1600,Mesenchymal Stem Cells Therapy in Patients With COVID-19 Pneumonia,Other: Mesenchymal stem cells,https://ClinicalTrials.gov/show/NCT04713878
1601,Post Covid-19 Cardiopulmonary and Immunological Changes,,https://ClinicalTrials.gov/show/NCT04388436
1602,The Fleming [FMTVDM] Directed CoVid-19 Treatment Protocol,"Drug: Hydroxychloroquine, Azithromycin|Drug: Hydroxychloroquine, Doxycycline|Drug: Hydroxychloroquine, Clindamycin|Drug: Hydroxychloroquine, Clindamycin, Primaquine - low dose.|Drug: Hydroxychloroquine, Clindamycin, Primaquine - high dose.|Drug: Remdesivir|Drug: Tocilizumab|Drug: Methylprednisolone|Drug: Interferon-Alpha2B|Drug: Losartan|Drug: Convalescent Serum",https://ClinicalTrials.gov/show/NCT04349410
1603,Assessment of SARS-CoV-2 Seroprevalence in Detention,Biological: Blood draw,https://ClinicalTrials.gov/show/NCT04516512
1604,Capturing Infectious COVID-19 Asymptomatic Cases in Singapore,Diagnostic Test: BD Veritor Plus System for Rapid Detection of SARS CoV-2|Diagnostic Test: rt-PCR|Diagnostic Test: viral culture,https://ClinicalTrials.gov/show/NCT04812327
1605,Efficacy of a Nasal Spray Containing Iota-Carrageenan in the Prophylaxis of COVID-19 Disease in Health Personnel Dedicated to Patients Care With COVID-19 Disease,Drug: Iota-Carrageenan,https://ClinicalTrials.gov/show/NCT04521322
1606,Impact of Maternal COVID-19 Disease on Breast Milk and Infant Health,Other: maternal SARS-CoV-2 infection,https://ClinicalTrials.gov/show/NCT04768244
1607,Cardiorespiratory Exercise & Chinese Medicine for Rehabilitation of Discharged Coronavirus Disease (COVID-19) Patients,Other: Cardiorespiratory Exercise|Other: Modified Bai He Gu Jin Tang,https://ClinicalTrials.gov/show/NCT04572360
1608,Efficacy of Nicotine in Preventing COVID-19 Infection,Drug: Nicotine patch|Drug: Placebo patch,https://ClinicalTrials.gov/show/NCT04583410
1609,ENO Breathe vs Usual Care in COVID-19 Recovery,Other: ENO Breathe group,https://ClinicalTrials.gov/show/NCT04830033
1610,Hydroxychloroquine Treatment for Severe COVID-19 Pulmonary Infection (HYDRA Trial),Drug: Hydroxychloroquine|Drug: Placebo oral tablet,https://ClinicalTrials.gov/show/NCT04315896
1611,Study to Assess the Efficacy and Safety of Ruxolitinib in Patients With COVID-19 Associated Cytokine Storm,Drug: Ruxolitinib|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04362137
1612,Immunity Against SARS-CoV2 in Children and Their Parents / COVID-19,Biological: serology test|Biological: nasopharyngeal swab|Biological: rectal swab|Biological: saliva sample,https://ClinicalTrials.gov/show/NCT04355533
1613,Convalescent Plasma as Potential Therapy for Severe COVID-19 Pneumonia,Biological: COVID19 convalescent plasma infusion,https://ClinicalTrials.gov/show/NCT04535063
1614,Factors Associated With Clinical Outcomes in Patients Hospitalized for Covid-19 in GHT-93 Est,,https://ClinicalTrials.gov/show/NCT04366206
1615,CAMOVID : Evaluation of Efficacy and Safety of Camostat Mesylate for the Treatment of SARS-CoV-2 Infection - COVID-19 in Ambulatory Adult Patients,Drug: Camostat Mesylate|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04608266
1616,Myeloid Cells in Patients With Covid-19 Pneumonia,Other: Blood sampling|Other: Nasal Brushing,https://ClinicalTrials.gov/show/NCT04590261
1617,Phase I Clinical Trial of a COVID-19 Vaccine in 18-60 Healthy Adults,Biological: Recombinant Novel Coronavirus Vaccine (Adenovirus Type 5 Vector),https://ClinicalTrials.gov/show/NCT04313127
1618,PRE-VENT Study in Hospitalized Patients With Severe COVID-19 With or Without Cancer,Drug: Pacritinib|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04404361
1619,Cardiovascular Risk Factors and Severe COVID-19. A Nationwide Registry-based Case-Control Study,Other: Hypertension|Other: Diabetes type 2|Other: Obesity|Drug: Antihypertensive Agents|Drug: Statins (Cardiovascular Agents),https://ClinicalTrials.gov/show/NCT04426084
1620,Correlation Between the Incidence of COVID-19 in Nursing-homes and the Profile of Nursing Homes in the French Alps,,https://ClinicalTrials.gov/show/NCT04695457
1621,Comorbidities and Risk Score in COVID-19 Patients,,https://ClinicalTrials.gov/show/NCT04670094
1622,Corticosteroids in Severe COVID-19(ASAP-C Study),Other: questionnaire,https://ClinicalTrials.gov/show/NCT04648410
1623,Role of Lymphocyte Subsets and Laboratory Measurements in COVID-19 Disease,,https://ClinicalTrials.gov/show/NCT04779359
1624,Anti COVID-19 Antibodies in Follicular Fluid and Spermatic Fluid,Diagnostic Test: Anti COVID19 IgG Antibodies,https://ClinicalTrials.gov/show/NCT04822012
1625,"Clinical Trial of the Immunogenicity, Safety, and Efficacy of the Gam-COVID-Vac Vaccine Against COVID-19 in Venezuela",Biological: Gam-COVID-Vac|Biological: Placebo,https://ClinicalTrials.gov/show/NCT04642339
1626,Study of Intravenous Administration of Allogeneic Adipose-Derived Mesenchymal Stem Cells for COVID-19-Induced Acute Respiratory Distress,Drug: COVI-MSC|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04728698
1627,Assessment of the Psychosocial Impact of the COVID-19 Pandemic on the MD Anderson Cancer Center Workforce,Other: Questionnaire Administration,https://ClinicalTrials.gov/show/NCT04491292
1628,A Study to Determine the Safety and Efficacy of SARS-CoV-2 mRNA Vaccine CVnCoV in Adults for COVID-19,Biological: CVnCoV|Biological: Placebo,https://ClinicalTrials.gov/show/NCT04652102
1629,Serological Response to mRNA and Inactivated COVID-19 Vaccine in Health Care Workers in Hong Kong,Biological: CoronaVac Vaccine|Biological: BNT162b2 Vaccine,https://ClinicalTrials.gov/show/NCT04898946
1630,Prevention of COVID-19 Infection to Severe Pneumonia or ARDS,Drug: EC-18|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04569227
1631,"Development and Validation of ""Ready-to-Use"" Inhalable Forms of Hydroxychloroquine for Treatment of COVID-19",Drug: inhalable hydroxychloroquine (HCQ)|Drug: supportive and symptomatic treatment,https://ClinicalTrials.gov/show/NCT04477083
1632,Covid-19 Airway Management,,https://ClinicalTrials.gov/show/NCT04689724
1633,Cardiopulmonary Rehabilitation in COVID-19 Longhaulers,Other: Treadmill Exercise|Other: Concentrated Oxygen|Other: Concentrated Air,https://ClinicalTrials.gov/show/NCT04898205
1634,Use of Ascorbic Acid in Patients With COVID 19,Dietary Supplement: Vitamin C,https://ClinicalTrials.gov/show/NCT04323514
1635,Allogeneic Natural Killer (NK) Cell Therapy in Subjects Hospitalized for COVID-19,Biological: DVX201,https://ClinicalTrials.gov/show/NCT04900454
1636,"An Open Study of the Safety, Tolerability and Immunogenicity of the Drug ""Gam-COVID-Vac"" Vaccine Against COVID-19",Biological: Gam-COVID-Vac,https://ClinicalTrials.gov/show/NCT04436471
1637,COVID-19 Seroconversion Study Among GHdC Staff Members - Summer 2020,Diagnostic Test: Serological tests for SARS Cov-2,https://ClinicalTrials.gov/show/NCT04723290
1638,Breathing Techniques and Meditation for Health Care Workers During COVID-19 Pandemic,Other: Media Intervention|Procedure: Meditation Therapy|Other: Quality-of-Life Assessment|Other: Questionnaire Administration|Procedure: Yoga,https://ClinicalTrials.gov/show/NCT04482647
1639,Immuno-bridging Study of Inactivated SARS-CoV-2 Vaccine in Healthy Population Aged 3-17 vs Aged 18 Years Old and Above,"Biological: SARS-CoV-2 Vaccine (Vero Cell), Inactivated",https://ClinicalTrials.gov/show/NCT04917523
1640,"Lung Function, Exercise Capacity and Health-Related Quality of Life After Severe COVID-19","Diagnostic Test: Lung Function tests|Diagnostic Test: Exercise capacity|Diagnostic Test: Exercise physiology|Diagnostic Test: Health-related quality of life|Diagnostic Test: Respiratory symptoms, symptoms of anxiety and depression, and post-traumatic stress screening",https://ClinicalTrials.gov/show/NCT04410107
1641,Minnesota COVID-19 Testing Project,Behavioral: A $10 Survey Incentive|Behavioral: A $20 Survey Incentive|Behavioral: Emphasis of Government Involvement|Behavioral: Emphasis of Academic Researchers Involvement|Behavioral: Cost-Benefit Frame|Behavioral: Duty Frame|Behavioral: Racial/Ethnic Frame|Behavioral: No Messaging,https://ClinicalTrials.gov/show/NCT04568889
1642,Prone Positioning for Invasively Ventilated Patients With COVID-19 Registry,Procedure: Prone Position,https://ClinicalTrials.gov/show/NCT04905875
1643,Ozone Therapy and Coronavirus Disease of 2019 (COVID-19) Pneumonia,,https://ClinicalTrials.gov/show/NCT04444531
1644,PREPARE-IT. Prevention and Treatment of COVID19 With EPA in Subjects at Risk - Intervention Trial,Drug: Icosapent ethyl (IPE)|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04460651
1645,Delayed Heterologous SARS-CoV-2 Vaccine Dosing (Boost) After Receipt of EUA Vaccines,Biological: mRNA-1273,https://ClinicalTrials.gov/show/NCT04889209
1646,Comparative Analysis of Clinical Parameters and Radiographic Changes of Severe COVID-19,Combination Product: NO Severe COVID-19,https://ClinicalTrials.gov/show/NCT04918901
1647,Effectiveness of Niclosamide as Add-on Therapy to the Standard of Care Measures in COVID-19 Management,Drug: Niclosamide Oral Tablet,https://ClinicalTrials.gov/show/NCT04753619
1648,Study of Human Umbilical Cord Mesenchymal Stem Cells in the Treatment of Severe COVID-19,Biological: UC-MSCs|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04273646
1649,Saliva as Source of Detection for SARS-CoV-2,,https://ClinicalTrials.gov/show/NCT04424446
1650,COVID-19 Infection in Patients With Hepatocellular Carcinoma,Diagnostic Test: nasopharyngeal Covid 19 RT-PCR,https://ClinicalTrials.gov/show/NCT04367805
1651,Tele-Physiotherapy After COVID-19 Hospitalization,Other: Tele-physiotherapy group|Other: Control group,https://ClinicalTrials.gov/show/NCT04895371
1652,Prognostic Score in Covid-19,Other: data collection,https://ClinicalTrials.gov/show/NCT04780373
1653,Anti-inflammatory Effect of Low-Dose Whole-Lung Radiation for COVID-19 Pneumonia,Radiation: Low Dose Radiotherapy,https://ClinicalTrials.gov/show/NCT04534790
1654,Assessment of Covid-19 Infection Rates in Healthcare Workers Using a Desynchronization Strategy,,https://ClinicalTrials.gov/show/NCT04333862
1655,Quality of Life and Physical Performance After Novel Coronavirus Infection (COVID-19);,Other: Physical exercise|Behavioral: Education sessions,https://ClinicalTrials.gov/show/NCT04375709
1656,"A Double-blind, Placebo-controlled Clinical Trial of Fluvoxamine for Symptomatic Individuals With COVID-19 Infection",Drug: Fluvoxamine|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04342663
1657,Losartan and Spironolactone Treatment for ICU Patients With COVID-19 Suffering From ARDS,Drug: Losartan 50 mg and Spironolactone 25 mg pillules oral use,https://ClinicalTrials.gov/show/NCT04643691
1658,"Prospective COVID-19 Cohort Study, Dominican Republic",Other: Alcohol based hand sanitizer,https://ClinicalTrials.gov/show/NCT04898738
1659,Burden of COVID-19 Infection in Populations With High or Low Risk of Infection,,https://ClinicalTrials.gov/show/NCT04636203
1660,"Oxidative Stress Parameters, Trace Element and Quality of Life in Men Before and After Covid-19 Vaccines",Biological: CoronoVac Vaccine,https://ClinicalTrials.gov/show/NCT04751695
1661,Genetic Basis of COVID-19 Infection,Diagnostic Test: Whole Exome Sequencing,https://ClinicalTrials.gov/show/NCT04384250
1662,Dexamethasone and Oxygen Support Strategies in ICU Patients With Covid-19 Pneumonia,Drug: Dexamethasone injection|Drug: placebo|Procedure: conventional oxygen|Procedure: CPAP|Procedure: HFNO|Procedure: mechanical ventilation,https://ClinicalTrials.gov/show/NCT04344730
1663,Assessment of the Impact of Oral Intervention With Cetylpyridinium Chloride to Decrease SARS-CoV-2 Viral Load in Patients With COVID-19,Other: ORAL INTERVENTION WITH CETYLPYRIDINIUM CHLORIDE|Other: PLACEBO,https://ClinicalTrials.gov/show/NCT04820803
1664,Convalescent Plasma for the Treatment of Patients With Severe COVID-19 Infection,Procedure: Convalescent Plasma,https://ClinicalTrials.gov/show/NCT04408209
1665,A Retrospective Study of Neural Network Model to Dynamically Quantificate the Severity in COVID-19 Disease,Other: other,https://ClinicalTrials.gov/show/NCT04347369
1666,Sarco-COVID Study: Measuring the Loss of Skeletal Muscle Mass in the Hospitalized Patient With the Diagnosis of COVID-19,Other: Sarcopenia diagnosis,https://ClinicalTrials.gov/show/NCT04780126
1667,Study of a Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV-2) Adjuvanted Inactivated Vaccine in Healthy Adults,Biological: SARS-CoV-2 vaccine|Biological: Placebo,https://ClinicalTrials.gov/show/NCT04866069
1668,Convalescent Plasma vs Human Immunoglobulin to Treat COVID-19 Pneumonia,Drug: Plasma from COVID-19 convalescent patient|Drug: Human immunoglobulin,https://ClinicalTrials.gov/show/NCT04381858
1669,Surveillance of Individuals Following SARS-CoV-2 Infection,,https://ClinicalTrials.gov/show/NCT04383444
1670,Risk Profiling of the Occupational Exposure of COVID-19 to Healthcare Workers.,,https://ClinicalTrials.gov/show/NCT04477213
1671,Physical Activity Program Implementation in Hospitalized Positive Covid-19 Older Adults,Other: physical activity program,https://ClinicalTrials.gov/show/NCT04647682
1672,Treatment of Coronavirus COVID-19 Pneumonia (Pathogen SARS-CoV-2) With Cryopreserved Allogeneic P_MMSCs and UC-MMSCs,Procedure: Placenta-Derived MMSCs; Cryopreserved Placenta-Derived Multipotent Mesenchymal Stromal Cells|Drug: Antibiotics|Drug: Hormones|Drug: Anticoagulant Therapy|Device: Оxygen therapy,https://ClinicalTrials.gov/show/NCT04461925
1673,Staff Absenteeism and Delivery of Healthcare Services During the COVID-19 Pandemic,Other: COVID-19 pandemic,https://ClinicalTrials.gov/show/NCT04521010
1674,The VIDA After COVID Study,Behavioral: Virtual Intervention Program,https://ClinicalTrials.gov/show/NCT04945590
1675,"Evaluate the Safety, Immunogenicity and Potential Efficacy of an rVSV-SARS-CoV-2-S Vaccine","Biological: IIBR-100, low dose (prime)|Biological: IIBR-100 medium dose (prime)|Biological: IIBR-100 high-dose (prime)|Biological: IIBR-100 low-dose (prime-boost)|Other: Saline Placebo (single)|Other: Saline Placebo (double)|Biological: IIBR-100 medium-dose (prime-boost)|Biological: IIBR-100 high-dose (prime-boost)|Biological: IIBR-100 top-dose (prime-boost)",https://ClinicalTrials.gov/show/NCT04608305
1676,Analysis of the Immune Parameters of COVID-19 Infection in Patients With Multiple Myeloma,Other: blood sample analyses,https://ClinicalTrials.gov/show/NCT04805203
1677,COVID 19-Caregivers IGg Seroconversion,Other: Blood sampling,https://ClinicalTrials.gov/show/NCT04353323
1678,BARCONA: A Study of Effects of Bardoxolone Methyl in Participants With SARS-Corona Virus-2 (COVID-19),Drug: Bardoxolone Methyl|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04494646
1679,Changing Susceptible Body Constitution for COVID-19 Prevention by Chinese Medicine in Hong Kong Residents,"Drug: Yu-Ping-Feng formula|Drug: Xiang-Sha-Liu-Jun formula|Drug: Liu-Wei-Di-Huang formula|Drug: Placebo for ""Deficiency of Qi and Yang""|Drug: Placebo for ""Deficiency of Qi and Yin""",https://ClinicalTrials.gov/show/NCT04668222
1680,Bevacizumab in Severe or Critically Severe Patients With COVID-19 Pneumonia-RCT,Drug: Bevacizumab,https://ClinicalTrials.gov/show/NCT04305106
1681,Effect of Respiratory Versus Aerobic Training on Respiratory and Immunity Efficiency in Recovered COVID- 19 Patients,Other: Respiratory Training|Other: Aerobic training,https://ClinicalTrials.gov/show/NCT04613050
1682,Investigating the Role of 13cis Retinoic Acid in the Treatment of COVID-19 and Enhancement of Its Spike Protein Based Vaccine Efficacy and Safety.,Drug: Oral 13 cis retinoic acid|Drug: Aerosolized 13 cis retinoic acid|Combination Product: 13 cis retinoic acid doses orally in combination with spike protein based vaccine|Combination Product: Aerosolized 13 cis retinoic acid in combination with spike protein based vaccine|Biological: Biological: spike protein based vaccine such as ChAdOx1 nCoV-19 vaccine,https://ClinicalTrials.gov/show/NCT04730895
1683,Cyclosporine A Plus Low-steroid Treatment in COVID-19 Pneumonia,Drug: Cyclosporin A,https://ClinicalTrials.gov/show/NCT04540926
1684,NestaCell® Mesenchymal Stem Cell to Treat Patients With Severe COVID-19 Pneumonia,Biological: NestaCell®|Biological: Placebo,https://ClinicalTrials.gov/show/NCT04315987
1685,COVID Breath Test - Ancon,Diagnostic Test: Breath test,https://ClinicalTrials.gov/show/NCT04760639
1686,Study to Evaluate the Efficacy and Safety of AstroStem-V in Treatment of COVID-19 Pneumonia,Drug: AstroStem-V,https://ClinicalTrials.gov/show/NCT04527224
1687,Dulce Digital-COVID Aware (DD-CA) Discharge Texting Platform for US/Mexico Border Hispanics With Diabetes + COVID-19,Behavioral: Hospital: DD-CA|Behavioral: Hospital: Usual Care (UC),https://ClinicalTrials.gov/show/NCT04591015
1688,Fight COVID-19 Trial,Drug: Oral,https://ClinicalTrials.gov/show/NCT04303299
1689,"COVID-19: A Trial Studying the SARS-CoV-2 mRNA Vaccine CVnCoV to Learn About the Immune Response, the Safety, and the Degree of Typical Vaccination Reactions When CVnCoV is Given at the Same Time as a Flu Vaccine Compared to When the Vaccines Are Separately Given in Adults 60 Years of Age and Older",Biological: SARS-CoV-2 mRNA Vaccine (CVnCoV)|Biological: Quadrivalent influenza vaccine (QIV)|Other: Placebo,https://ClinicalTrials.gov/show/NCT04848467
1690,COVID-19 Aerosol in EGD Using a Droplet Reduction Mouthpiece,"Device: Mouthpiece B1(Mouthpiece MPC-ST GMDN:62534 Generic name: Endoscopic bite block, basic, reusable",https://ClinicalTrials.gov/show/NCT04864015
1691,Efficacy and Safety of DWJ1248 With Remdesivir in Severe COVID-19 Patients,Drug: DWJ1248 with Remdesivir|Drug: Placebo with Remdesivir,https://ClinicalTrials.gov/show/NCT04713176
1692,Azithromycin for COVID-19 Treatment in Outpatients Nationwide,Drug: Azithromycin|Drug: Placebos,https://ClinicalTrials.gov/show/NCT04332107
1693,Over-the-counter Medications & COVID-19,,https://ClinicalTrials.gov/show/NCT04500639
1694,Clinical Trial to Investigate the Efficacy and Safety of NuSepin® in COVID-19 Pneumonia Patients,Drug: NuSepin® 0.1 mg|Drug: NuSepin® 0.2 mg|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04565379
1695,The Prone Position in Covid-19 Affected Patients,Procedure: Prone position,https://ClinicalTrials.gov/show/NCT04365959
1696,Study of a Severe Acute Respiratory Syndrome CoV-2 (SARS-CoV-2) Virus-like Particle (VLP) Vaccine in Healthy Adults,Biological: SARS-CoV-2 VLP Vaccine|Biological: Placebo,https://ClinicalTrials.gov/show/NCT04818281
1697,Glucocorticoid Therapy for COVID-19 Critically Ill Patients With Severe Acute Respiratory Failure,Drug: methylprednisolone therapy|Other: Standard care,https://ClinicalTrials.gov/show/NCT04244591
1698,"To Evaluate Safety, Tolerability and Pharmacodynamics of DWRX2003 Against COVID-19 (in Philippines)",Drug: DWRX2003|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04541485
1699,The Efficacy of Leukotriene Inhibitor in Adult Patients With Moderate SARS-COV-2 Symptoms (COVID19),Drug: Leukotriene Receptor Antagonist|Other: Placebo,https://ClinicalTrials.gov/show/NCT04871828
1700,The PAWS-COVID-19 (Pediatric AirWay complicationS COVID-19) Registry,Procedure: airway management during sedation or general anesthesia,https://ClinicalTrials.gov/show/NCT04449042
1701,COVID-19 Recovered Volunteer Research Participant Pool Registry,,https://ClinicalTrials.gov/show/NCT04359602
1702,COVID-19 PrEP HCW HCQ Study,Drug: Hydroxychloroquine (HCQ),https://ClinicalTrials.gov/show/NCT04354870
1703,The LAVA (Lateral Flow Antigen Validation and Applicability) Study for COVID-19,Device: Innova Lateral Flow Device,https://ClinicalTrials.gov/show/NCT04629157
1704,Carrageenan Nasal Spray for COVID-19 Prophylaxis,Device: Carrageenan nasal and throat spray|Device: Saline nasal and throat spray,https://ClinicalTrials.gov/show/NCT04590365
1705,S-Nitrosylation Therapy of COVID-19,Drug: SNO|Drug: Nitrogen gas,https://ClinicalTrials.gov/show/NCT04528771
1706,"COVID-19 CHAMPS Study of Healthcare, First Responder and Service Workers",,https://ClinicalTrials.gov/show/NCT04370821
